1397-10-06 19:17:10.382 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:27:35.664 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.678 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.688 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.697 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.707 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.717 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.830 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.839 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.037 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:28:37.210 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:28:37.219 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:28:37.229 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:28:37.309 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.320 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.332 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.343 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.353 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.366 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.485 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:28:37.499 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:09.900 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:30:10.076 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:30:10.087 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:30:10.099 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:30:10.182 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.195 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.205 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.215 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.226 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.238 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.354 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:30:10.365 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.482 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:31:46.645 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:31:46.654 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:31:46.664 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:31:46.737 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.750 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.761 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.775 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.787 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.797 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.911 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:31:46.921 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.454 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:32:43.623 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:32:43.634 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:32:43.651 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:32:43.728 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.740 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.750 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.760 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.775 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.788 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.908 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:32:43.919 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.367 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:33:41.538 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:33:41.553 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:33:41.566 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:33:41.650 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.661 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.679 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.690 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.706 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.716 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.831 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:33:41.848 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:43.928 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:35:44.091 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:35:44.101 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:35:44.112 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:35:44.187 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.197 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.208 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.219 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.232 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.243 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.354 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:44.367 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.547 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:35:59.711 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:35:59.721 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:35:59.732 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:35:59.806 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.818 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.830 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.840 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.851 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.862 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.982 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:35:59.992 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:38:11.795 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:38:11.954 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:38:11.963 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
